created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2024-11-03T04:07:34+00:00,1,,,7.84,,,,,
2024-11-03T04:09:48+00:00,2,,,8.72,,,,,
2024-11-03T04:12:02+00:00,3,,,9.2,,,,,
2024-11-03T04:14:17+00:00,4,,,8.84,,,,,
2024-11-03T04:16:31+00:00,5,,,8.77,,,,,
2024-11-03T04:18:45+00:00,6,,,8.73,,,,,
2024-11-03T04:20:59+00:00,7,,,8.97,,,,,
2024-11-03T04:23:13+00:00,8,,,8.72,,,,,
2024-11-03T04:25:28+00:00,9,,,8.85,,,,,
2024-11-03T04:27:42+00:00,10,,,8.68,,,,,
2024-11-03T04:29:56+00:00,11,,,8.92,,,,,
2024-11-03T04:32:10+00:00,12,,,8.77,,,,,
2024-11-03T04:34:24+00:00,13,,,8.79,,,,,
2024-11-03T04:36:38+00:00,14,,,8.85,,,,,
2024-11-03T04:38:53+00:00,15,,,8.03,,,,,
2024-11-03T04:41:06+00:00,16,,,8.89,,,,,
2024-11-03T04:43:21+00:00,17,,,7.89,,,,,
2024-11-03T04:45:35+00:00,18,,,8.75,,,,,
2024-11-03T04:47:49+00:00,19,,,8.75,,,,,
2024-11-03T04:50:04+00:00,20,,,8.99,,,,,
2024-11-03T04:52:18+00:00,21,,,8.94,,,,,
2024-11-03T04:54:32+00:00,22,,,7.94,,,,,
2024-11-03T04:56:46+00:00,23,,,8.92,,,,,
2024-11-03T04:59:00+00:00,24,,,8.8,,,,,
2024-11-03T05:01:14+00:00,25,,,8.75,,,,,
2024-11-03T05:03:29+00:00,26,,,9.04,,,,,
2024-11-03T05:05:43+00:00,27,,,8.55,,,,,
2024-11-03T05:07:57+00:00,28,,,8.67,,,,,
2024-11-03T05:10:11+00:00,29,,,8.65,,,,,
2024-11-03T05:12:25+00:00,30,,,9.04,,,,,
2024-11-03T05:14:40+00:00,31,,,8.13,,,,,
2024-11-03T05:16:54+00:00,32,,,8.48,,,,,
2024-11-03T05:19:08+00:00,33,,,9.16,,,,,
2024-11-03T05:21:22+00:00,34,,,8.75,,,,,
2024-11-03T05:23:36+00:00,35,,,7.96,,,,,
2024-11-03T05:25:50+00:00,36,,,7.72,,,,,
2024-11-03T05:28:05+00:00,37,,,7.98,,,,,
2024-11-03T05:30:19+00:00,38,,,8.36,,,,,
2024-11-03T05:32:33+00:00,39,,,8.44,,,,,
2024-11-03T05:34:46+00:00,40,,61.19,,,,,,
2024-11-03T05:37:01+00:00,41,,,8.67,,,,,
2024-11-03T05:39:16+00:00,42,,,8.82,,,,,
2024-11-03T05:41:30+00:00,43,,,8.91,,,,,
2024-11-03T05:43:44+00:00,44,,,8.8,,,,,
2024-11-03T05:45:58+00:00,45,,,8.65,,,,,
2024-11-03T05:48:12+00:00,46,,,7.96,,,,,
2024-11-03T05:48:49+00:00,47,,-12.84,,,,,,
2024-11-03T05:50:26+00:00,48,,,7.96,,,,,
2024-11-03T05:52:41+00:00,49,,,8.82,,,,,
2024-11-03T05:53:18+00:00,50,,10.88,,,,,,
2024-11-03T05:54:55+00:00,51,,,8.79,,,,,
2024-11-03T05:57:09+00:00,52,,,8.79,,,,,
2024-11-03T05:59:23+00:00,53,,,8.73,,,,,
2024-11-03T06:01:37+00:00,54,,,8.43,,,,,
2024-11-03T06:03:52+00:00,55,,,8,,,,,
2024-11-03T06:06:06+00:00,56,,,8.6,,,,,
2024-11-03T06:08:20+00:00,57,,,8.96,,,,,
2024-11-03T06:10:34+00:00,58,,,8.49,,,,,
2024-11-03T06:12:48+00:00,59,,,8.92,,,,,
2024-11-03T06:15:02+00:00,60,,,8.97,,,,,
2024-11-03T06:17:17+00:00,61,,,41.58,,,,,
2024-11-03T06:19:31+00:00,62,,,8.43,,,,,
2024-11-03T06:21:45+00:00,63,,,7.89,,,,,
2024-11-03T06:23:59+00:00,64,,,8.97,,,,,
2024-11-03T06:26:13+00:00,65,,,8.75,,,,,
2024-11-03T06:28:27+00:00,66,,,8.87,,,,,
2024-11-03T06:30:42+00:00,67,,,8.68,,,,,
2024-11-03T06:32:56+00:00,68,,,8.85,,,,,
2024-11-03T06:35:10+00:00,69,,,8.8,,,,,
2024-11-03T06:37:24+00:00,70,,,8.89,,,,,
2024-11-03T06:39:38+00:00,71,,,8.37,,,,,
2024-11-03T06:41:53+00:00,72,,,8.91,,,,,
2024-11-03T06:44:07+00:00,73,,,9.01,,,,,
2024-11-03T06:46:21+00:00,74,,,9.04,,,,,
2024-11-03T06:48:35+00:00,75,,,8.97,,,,,
2024-11-03T06:50:49+00:00,76,,,8.44,,,,,
2024-11-03T06:53:04+00:00,77,,,8.92,,,,,
2024-11-03T06:55:18+00:00,78,,,8.87,,,,,
2024-11-03T06:57:32+00:00,79,,,8,,,,,
2024-11-03T06:59:46+00:00,80,,,8.91,,,,,
2024-11-03T07:01:00+00:00,81,,5.66,,,,,,
2024-11-03T07:02:00+00:00,82,,,8.56,,,,,
2024-11-03T07:04:03+00:00,83,,3.66,,,,,,
2024-11-03T07:06:29+00:00,84,,,8.97,,,,,
2024-11-03T07:07:15+00:00,85,,7.33,,,,,,
2024-11-03T07:08:43+00:00,86,,,8.36,,,,,
2024-11-03T07:10:57+00:00,87,,,8.36,,,,,
2024-11-03T07:13:11+00:00,88,,,9.28,,,,,
2024-11-03T07:14:39+00:00,89,,5.39,,,,,,
2024-11-03T07:15:26+00:00,90,,,8.7,,,,,
2024-11-03T07:16:50+00:00,91,,86.34,,,,,,
2024-11-03T07:17:40+00:00,92,,,8.67,,,,,
2024-11-03T07:19:54+00:00,93,,,8.94,,,,,
2024-11-03T07:22:08+00:00,94,,,8.2,,,,,
2024-11-03T07:24:22+00:00,95,,,8.73,,,,,
2024-11-03T07:25:42+00:00,96,,3.52,,,,,,
2024-11-03T07:26:36+00:00,97,,,8.31,,,,,
2024-11-03T07:28:50+00:00,98,,,7.88,,,,,
2024-11-03T07:31:05+00:00,99,,,8.89,,,,,
2024-11-03T07:33:19+00:00,100,,,7.93,,,,,
2024-11-03T07:35:33+00:00,101,,,8.84,,,,,
2024-11-03T07:37:47+00:00,102,,,8.19,,,,,
2024-11-03T07:40:01+00:00,103,,,8.65,,,,,
2024-11-03T07:42:16+00:00,104,,,8.77,,,,,
2024-11-03T07:44:30+00:00,105,,,8.91,,,,,
2024-11-03T07:46:44+00:00,106,,,8.27,,,,,
2024-11-03T07:48:58+00:00,107,,,8.36,,,,,
2024-11-03T07:51:12+00:00,108,,,8.63,,,,,
2024-11-03T07:53:26+00:00,109,,,8.17,,,,,
2024-11-03T07:55:41+00:00,110,,,8.89,,,,,
2024-11-03T07:57:55+00:00,111,,,8.65,,,,,
2024-11-03T08:00:37+00:00,112,,,9.68,,,,,
2024-11-03T08:02:52+00:00,113,,,8.7,,,,,
2024-11-03T08:05:06+00:00,114,,,8.79,,,,,
2024-11-03T08:07:20+00:00,115,,,8.7,,,,,
2024-11-03T08:09:34+00:00,116,,,8.65,,,,,
2024-11-03T08:11:48+00:00,117,,,8.25,,,,,
2024-11-03T08:14:03+00:00,118,,,8.7,,,,,
2024-11-03T08:16:17+00:00,119,,,8.27,,,,,
2024-11-03T08:18:31+00:00,120,,,7.94,,,,,
2024-11-03T08:20:45+00:00,121,,,8.67,,,,,
2024-11-03T08:22:59+00:00,122,,,8.77,,,,,
2024-11-03T08:25:13+00:00,123,,,8.6,,,,,
2024-11-03T08:27:28+00:00,124,,,8.53,,,,,
2024-11-03T08:29:42+00:00,125,,,8.63,,,,,
2024-11-03T08:31:56+00:00,126,,,8.51,,,,,
2024-11-03T08:34:10+00:00,127,,,8.6,,,,,
2024-11-03T08:36:24+00:00,128,,,8.41,,,,,
2024-11-03T08:38:38+00:00,129,,,8.67,,,,,
2024-11-03T08:40:53+00:00,130,,,8.7,,,,,
2024-11-03T08:43:07+00:00,131,,,8.65,,,,,
2024-11-03T08:45:21+00:00,132,,,8.46,,,,,
2024-11-03T08:47:35+00:00,133,,,8.56,,,,,
2024-11-03T08:49:49+00:00,134,,,8.15,,,,,
2024-11-03T08:52:04+00:00,135,,,8.61,,,,,
2024-11-03T08:54:18+00:00,136,,,8.68,,,,,
2024-11-03T08:56:32+00:00,137,,,8.1,,,,,
2024-11-03T08:58:46+00:00,138,,,8.08,,,,,
2024-11-03T09:01:00+00:00,139,,,7.6,,,,,
2024-11-03T09:03:14+00:00,140,,,8.27,,,,,
2024-11-03T09:05:29+00:00,141,,,8,,,,,
2024-11-03T09:07:43+00:00,142,,,8.13,,,,,
2024-11-03T09:09:57+00:00,143,,,8.56,,,,,
2024-11-03T09:12:11+00:00,144,,,7.76,,,,,
2024-11-03T09:14:25+00:00,145,,,8.07,,,,,
2024-11-03T09:16:40+00:00,146,,,8.49,,,,,
2024-11-03T09:18:54+00:00,147,,,7.7,,,,,
2024-11-03T09:21:08+00:00,148,,,8.53,,,,,
2024-11-03T09:23:22+00:00,149,,,8.51,,,,,
2024-11-03T09:25:36+00:00,150,,,8.01,,,,,
2024-11-03T09:27:50+00:00,151,,,7.94,,,,,
2024-11-03T09:30:05+00:00,152,,,8.51,,,,,
2024-11-03T09:32:19+00:00,153,,,8.36,,,,,
2024-11-03T09:34:33+00:00,154,,,7.46,,,,,
2024-11-03T09:35:32+00:00,155,,35.57,,,,,,
2024-11-03T09:36:47+00:00,156,,,8,,,,,
2024-11-03T09:38:40+00:00,157,,33.46,,,,,,
2024-11-03T09:39:01+00:00,158,,,8.15,,,,,
2024-11-03T09:41:16+00:00,159,,,7.6,,,,,
2024-11-03T09:41:44+00:00,160,,-4.34,,,,,,
2024-11-03T09:43:30+00:00,161,,,8.53,,,,,
2024-11-03T09:45:25+00:00,162,,3.45,,,,,,
2024-11-03T09:45:44+00:00,163,,,8.36,,,,,
2024-11-03T09:47:58+00:00,164,,,8.48,,,,,
2024-11-03T09:48:40+00:00,165,,35.06,,,,,,
2024-11-03T09:50:12+00:00,166,,,8.51,,,,,
2024-11-03T09:51:38+00:00,167,,35.61,,,,,,
2024-11-03T09:52:26+00:00,168,,,8.48,,,,,
2024-11-03T09:54:41+00:00,169,,,8.44,,,,,
2024-11-03T09:56:55+00:00,170,,,8,,,,,
2024-11-03T09:59:09+00:00,171,,,8.49,,,,,
2024-11-03T10:00:37+00:00,172,,4.7,,,,,,
2024-11-03T10:01:23+00:00,173,,,8.17,,,,,
2024-11-03T10:03:37+00:00,174,,,8.29,,,,,
2024-11-03T10:05:52+00:00,175,,,8.58,,,,,
2024-11-03T10:06:25+00:00,176,,3.83,,,,,,
2024-11-03T10:08:06+00:00,177,,,8.34,,,,,
2024-11-03T10:10:20+00:00,178,,,7.93,,,,,
2024-11-03T10:12:34+00:00,179,,,8.25,,,,,
2024-11-03T10:14:48+00:00,180,,,8.46,,,,,
2024-11-03T10:15:55+00:00,181,,-1.46,,,,,,
2024-11-03T10:17:02+00:00,182,,,8.43,,,,,
2024-11-03T10:19:17+00:00,183,,,7.6,,,,,
2024-11-03T10:19:39+00:00,184,,14.91,,,,,,
2024-11-03T10:21:31+00:00,185,,,8.39,,,,,
2024-11-03T10:23:45+00:00,186,,,8.31,,,,,
2024-11-03T10:25:59+00:00,187,,,8.29,,,,,
2024-11-03T10:28:13+00:00,188,,,8.44,,,,,
2024-11-03T10:30:27+00:00,189,,,8.41,,,,,
2024-11-03T10:32:42+00:00,190,,,7.91,,,,,
2024-11-03T10:34:56+00:00,191,,,8.31,,,,,
2024-11-03T10:37:10+00:00,192,,,7.64,,,,,
2024-11-03T10:39:24+00:00,193,,,8.43,,,,,
2024-11-03T10:42:21+00:00,194,,,58.93,,,,,
2024-11-03T10:44:35+00:00,195,,,7.94,,,,,
2024-11-03T10:46:50+00:00,196,,,8.39,,,,,
2024-11-03T10:49:04+00:00,197,,,8.48,,,,,
2024-11-03T10:51:18+00:00,198,,,7.96,,,,,
2024-11-03T10:53:32+00:00,199,,,7.46,,,,,
2024-11-03T10:55:46+00:00,200,,,7.88,,,,,
2024-11-03T10:58:00+00:00,201,,,7.96,,,,,
2024-11-03T11:00:15+00:00,202,,,7.38,,,,,
2024-11-03T11:02:29+00:00,203,,,8.25,,,,,
2024-11-03T11:04:43+00:00,204,,,7.86,,,,,
2024-11-03T11:06:57+00:00,205,,,8.29,,,,,
2024-11-03T11:09:11+00:00,206,,,8.19,,,,,
2024-11-03T11:11:25+00:00,207,,,8.32,,,,,
2024-11-03T11:13:40+00:00,208,,,8.31,,,,,
2024-11-03T11:15:54+00:00,209,,,7.33,,,,,
2024-11-03T11:18:08+00:00,210,,,7.38,,,,,
2024-11-03T11:20:22+00:00,211,,,7.43,,,,,
2024-11-03T11:22:36+00:00,212,,,8.32,,,,,
2024-11-03T11:24:51+00:00,213,,,7.79,,,,,
2024-11-03T11:27:05+00:00,214,,,8.32,,,,,
2024-11-03T11:29:19+00:00,215,,,7.89,,,,,
2024-11-03T11:31:33+00:00,216,,,7.79,,,,,
2024-11-03T11:33:47+00:00,217,,,8.13,,,,,
2024-11-03T11:36:01+00:00,218,,,6.95,,,,,
2024-11-03T11:38:16+00:00,219,,,7.05,,,,,
2024-11-03T11:40:30+00:00,220,,,8.19,,,,,
2024-11-03T11:42:44+00:00,221,,,8.65,,,,,
2024-11-03T11:44:58+00:00,222,,,8.89,,,,,
2024-11-03T11:47:12+00:00,223,,,8.91,,,,,
2024-11-03T11:49:26+00:00,224,,,10.07,,,,,
2024-11-03T11:51:41+00:00,225,,,10.45,,,,,
2024-11-03T11:53:55+00:00,226,,,10.11,,,,,
2024-11-03T11:56:09+00:00,227,,,11.08,,,,,
2024-11-03T11:58:23+00:00,228,,,11.03,,,,,
2024-11-03T12:02:51+00:00,229,,,11.12,,,,,
2024-11-03T12:05:05+00:00,230,,,12.39,,,,,
2024-11-03T12:07:19+00:00,231,,,11.05,,,,,
2024-11-03T12:09:33+00:00,232,,,12.34,,,,,
2024-11-03T12:11:48+00:00,233,,,13.47,,,,,
2024-11-03T12:14:02+00:00,234,,,11.92,,,,,
2024-11-03T12:16:16+00:00,235,,,14.15,,,,,
2024-11-03T12:18:30+00:00,236,,,13.96,,,,,
2024-11-03T12:20:44+00:00,237,,,14.08,,,,,
2024-11-03T12:22:59+00:00,238,,,14.02,,,,,
2024-11-03T12:24:58+00:00,239,,-4.27,,,,,,
2024-11-03T12:25:13+00:00,240,,,15.23,,,,,
2024-11-03T12:27:27+00:00,241,,,16.16,,,,,
2024-11-03T12:29:41+00:00,242,,,16.28,,,,,
2024-11-03T12:31:55+00:00,243,,,11.74,,,,,
2024-11-03T12:34:09+00:00,244,,,17.29,,,,,
2024-11-03T12:36:24+00:00,245,,,11.39,,,,,
2024-11-03T12:38:38+00:00,246,,,17.77,,,,,
2024-11-03T12:40:52+00:00,247,,,18.06,,,,,
2024-11-03T12:43:06+00:00,248,,,14.31,,,,,
2024-11-03T12:45:20+00:00,249,,,18.2,,,,,
2024-11-03T12:47:34+00:00,250,,,17.5,,,,,
2024-11-03T12:49:49+00:00,251,,,19.11,,,,,
2024-11-03T12:52:03+00:00,252,,,18.66,,,,,
2024-11-03T12:54:17+00:00,253,,,18.94,,,,,
2024-11-03T12:56:31+00:00,254,,,19.66,,,,,
2024-11-03T12:58:45+00:00,255,,,20.34,,,,,
2024-11-03T13:00:59+00:00,256,,,18.85,,,,,
2024-11-03T13:03:14+00:00,257,,,20.48,,,,,
2024-11-03T13:05:28+00:00,258,,,20.69,,,,,
2024-11-03T13:06:24+00:00,259,,3.93,,,,,,
2024-11-03T13:07:42+00:00,260,,,22.69,,,,,
2024-11-03T13:09:43+00:00,261,,5.23,,,,,,
2024-11-03T13:12:10+00:00,262,,,23.59,,,,,
2024-11-03T13:14:25+00:00,263,,,21.39,,,,,
2024-11-03T13:17:47+00:00,264,,-8.88,,,,,,
2024-11-03T13:18:52+00:00,265,,,20.58,,,,,
2024-11-03T13:21:06+00:00,266,,,24.58,,,,,
2024-11-03T13:23:21+00:00,267,,,24.12,,,,,
2024-11-03T13:23:48+00:00,268,,3.14,,,,,,
2024-11-03T13:25:35+00:00,269,,,23.62,,,,,
2024-11-03T13:26:54+00:00,270,,18.42,,,,,,
2024-11-03T13:27:49+00:00,271,,,24.82,,,,,
2024-11-03T13:30:03+00:00,272,,,24.27,,,,,
2024-11-03T13:30:57+00:00,273,,9.38,,,,,,
2024-11-03T13:32:17+00:00,274,,,25.08,,,,,
2024-11-03T13:33:58+00:00,275,,6.93,,,,,,
2024-11-03T13:34:32+00:00,276,,,25.9,,,,,
2024-11-03T13:36:46+00:00,277,,,25.46,,,,,
2024-11-03T13:39:00+00:00,278,,,26.91,,,,,
2024-11-03T13:41:13+00:00,279,,6.86,,,,,,
2024-11-03T13:43:28+00:00,280,,,24.82,,,,,
2024-11-03T13:45:42+00:00,281,,,27.55,,,,,
2024-11-03T13:47:20+00:00,282,,11.37,,,,,,
2024-11-03T13:47:57+00:00,283,,,29.16,,,,,
2024-11-03T13:50:11+00:00,284,,,26.5,,,,,
2024-11-03T13:51:15+00:00,285,,98.63,,,,,,
2024-11-03T13:52:25+00:00,286,,,27.89,,,,,
2024-11-03T13:54:39+00:00,287,,,29.21,,,,,
2024-11-03T13:55:43+00:00,288,,31.44,,,,,,
2024-11-03T13:56:53+00:00,289,,,27.17,,,,,
2024-11-03T13:59:07+00:00,290,,,28.9,,,,,
2024-11-03T13:59:37+00:00,291,,8.85,,,,,,
2024-11-03T14:01:22+00:00,292,,,29.37,,,,,
2024-11-03T14:02:46+00:00,293,,9.56,,,,,,
2024-11-03T14:03:35+00:00,294,,,29.62,,,,,
2024-11-03T14:05:49+00:00,295,,,31.17,,,,,
2024-11-03T14:07:08+00:00,296,,13.33,,,,,,
2024-11-03T14:08:04+00:00,297,,,29.43,,,,,
2024-11-03T14:08:31+00:00,298,,6.16,,,,,,
2024-11-03T14:10:18+00:00,299,,,31.32,,,,,
2024-11-03T14:11:30+00:00,300,,11.48,,,,,,
2024-11-03T14:12:32+00:00,301,,,30.1,,,,,
2024-11-03T14:14:34+00:00,302,,10.74,,,,,,
2024-11-03T14:17:00+00:00,303,,,30.45,,,,,
2024-11-03T14:19:14+00:00,304,,,31.61,,,,,
2024-11-03T14:20:28+00:00,305,,100.84,,,,,,
2024-11-03T14:21:29+00:00,306,,,30.55,,,,,
2024-11-03T14:23:43+00:00,307,,,29.49,,,,,
2024-11-03T14:24:42+00:00,308,,-2.31,,,,,,
2024-11-03T14:25:57+00:00,309,,,30.89,,,,,
2024-11-03T14:26:36+00:00,310,,88.12,,,,,,
2024-11-03T14:28:11+00:00,311,,,30.48,,,,,
2024-11-03T14:30:25+00:00,312,,,34.78,,,,,
2024-11-03T14:31:59+00:00,313,,13.74,,,,,,
2024-11-03T14:32:40+00:00,314,,,28.52,,,,,
2024-11-03T14:34:54+00:00,315,,,31.51,,,,,
2024-11-03T14:35:57+00:00,316,,14.29,,,,,,
2024-11-03T14:37:08+00:00,317,,,33.17,,,,,
2024-11-03T14:38:58+00:00,318,,12.66,,,,,,
2024-11-03T14:39:22+00:00,319,,,32.44,,,,,
2024-11-03T14:40:12+00:00,320,,91.07,,,,,,
2024-11-03T14:41:36+00:00,321,,,32.57,,,,,
2024-11-03T14:43:23+00:00,322,,13.5,,,,,,
2024-11-03T14:43:50+00:00,323,,,38.81,,,,,
2024-11-03T14:46:05+00:00,324,,,28.11,,,,,
2024-11-03T14:46:29+00:00,325,,13.57,,,,,,
2024-11-03T14:48:19+00:00,326,,,34.24,,,,,
2024-11-03T14:49:38+00:00,327,,16.26,,,,,,
2024-11-03T14:50:33+00:00,328,,,32.76,,,,,
2024-11-03T14:50:54+00:00,329,,13.31,,,,,,
2024-11-03T14:52:47+00:00,330,,,35.28,,,,,
2024-11-03T14:54:03+00:00,331,,12.32,,,,,,
2024-11-03T14:55:01+00:00,332,,,30.38,,,,,
2024-11-03T14:57:15+00:00,333,,,32.95,,,,,
2024-11-03T14:58:00+00:00,334,,11.92,,,,,,
2024-11-03T14:59:30+00:00,335,,,33.4,,,,,
2024-11-03T15:01:44+00:00,336,,,32.06,,,,,
2024-11-03T15:02:03+00:00,337,,12.61,,,,,,
2024-11-03T15:03:58+00:00,338,,,28.97,,,,,
2024-11-03T15:05:04+00:00,339,,11.94,,,,,,
2024-11-03T15:06:12+00:00,340,,,32.16,,,,,
2024-11-03T15:08:10+00:00,341,,12.25,,,,,,
2024-11-03T15:08:26+00:00,342,,,31.82,,,,,
2024-11-03T15:10:40+00:00,343,,,32.73,,,,,
2024-11-03T15:12:10+00:00,344,,16.95,,,,,,
2024-11-03T15:12:55+00:00,345,,,35.02,,,,,
2024-11-03T15:15:09+00:00,346,,,34.3,,,,,
2024-11-03T15:17:23+00:00,347,,,33.7,,,,,
2024-11-03T15:18:19+00:00,348,,15.09,,,,,,
2024-11-03T15:19:39+00:00,349,,,33.5,,,,,
2024-11-03T15:21:53+00:00,350,,,34.7,,,,,
2024-11-03T15:22:16+00:00,351,,99.8,,,,,,
2024-11-03T15:24:07+00:00,352,,,36.96,,,,,
2024-11-03T15:25:30+00:00,353,,17.63,,,,,,
2024-11-03T15:26:21+00:00,354,,,33.72,,,,,
2024-11-03T15:28:33+00:00,355,,16.72,,,,,,
2024-11-03T15:30:50+00:00,356,,,32.88,,,,,
2024-11-03T15:31:39+00:00,357,,15.2,,,,,,
2024-11-03T15:33:04+00:00,358,,,33.34,,,,,
2024-11-03T15:34:44+00:00,359,,15.28,,,,,,
2024-11-03T15:35:18+00:00,360,,,28.66,,,,,
2024-11-03T15:37:32+00:00,361,,,33.52,,,,,
2024-11-03T15:37:52+00:00,362,,17.89,,,,,,
2024-11-03T15:39:46+00:00,363,,,33.62,,,,,
2024-11-03T15:40:55+00:00,364,,15.18,,,,,,
2024-11-03T15:42:00+00:00,365,,,29.86,,,,,
2024-11-03T15:44:01+00:00,366,,95.82,,,,,,
2024-11-03T15:46:29+00:00,367,,,34.87,,,,,
2024-11-03T15:47:08+00:00,368,,15.56,,,,,,
2024-11-03T15:48:43+00:00,369,,,36.02,,,,,
2024-11-03T15:50:12+00:00,370,,17.65,,,,,,
2024-11-03T15:50:57+00:00,371,,,30.98,,,,,
2024-11-03T15:53:11+00:00,372,,,32.33,,,,,
2024-11-03T15:55:25+00:00,373,,,33.65,,,,,
2024-11-03T15:56:23+00:00,374,,17.67,,,,,,
2024-11-03T15:57:40+00:00,375,,,30.86,,,,,
2024-11-03T15:59:28+00:00,376,,18.78,,,,,,
2024-11-03T15:59:54+00:00,377,,,31.92,,,,,
2024-11-03T16:00:47+00:00,378,,16.88,,,,,,
2024-11-03T16:02:08+00:00,379,,,33.09,,,,,
2024-11-03T16:04:22+00:00,380,,,32.73,,,,,
2024-11-03T16:06:35+00:00,381,,16.07,,,,,,
2024-11-03T16:08:50+00:00,382,,,32.49,,,,,
2024-11-03T16:09:43+00:00,383,,0.12,,,,,,
2024-11-03T16:11:05+00:00,384,,,32.49,,,,,
2024-11-03T16:12:46+00:00,385,,16.14,,,,,,
2024-11-03T16:13:19+00:00,386,,,28.13,,,,,
2024-11-03T16:14:07+00:00,387,,15.16,,,,,,
2024-11-03T16:15:33+00:00,388,,,36.59,,,,,
2024-11-03T16:17:47+00:00,389,,,32.06,,,,,
2024-11-03T16:18:46+00:00,390,,16.26,,,,,,
2024-11-03T16:20:01+00:00,391,,,32.2,,,,,
2024-11-03T16:21:49+00:00,392,,16.12,,,,,,
2024-11-03T16:22:16+00:00,393,,,31.61,,,,,
2024-11-03T16:24:30+00:00,394,,,31.37,,,,,
2024-11-03T16:25:50+00:00,395,,14.43,,,,,,
2024-11-03T16:26:44+00:00,396,,,31.27,,,,,
2024-11-03T16:27:11+00:00,397,,16.11,,,,,,
2024-11-03T16:28:58+00:00,398,,,32.13,,,,,
2024-11-03T16:30:21+00:00,399,,15.99,,,,,,
2024-11-03T16:31:12+00:00,400,,,31.41,,,,,
2024-11-03T16:32:23+00:00,401,,-0.31,,,,,,
2024-11-03T16:33:26+00:00,402,,,33.6,,,,,
2024-11-03T16:34:57+00:00,403,,14.56,,,,,,
2024-11-03T16:35:40+00:00,404,,,30.65,,,,,
2024-11-03T16:36:15+00:00,405,,14.56,,,,,,
2024-11-03T16:37:32+00:00,406,,9.06,,,,,,
2024-11-03T16:37:55+00:00,407,,,29.79,,,,,
2024-11-03T16:40:09+00:00,408,,,27.14,,,,,
2024-11-03T16:40:36+00:00,409,,14.39,,,,,,
2024-11-03T16:41:53+00:00,410,,15.68,,,,,,
2024-11-03T16:42:23+00:00,411,,,30.12,,,,,
2024-11-03T16:44:37+00:00,412,,,31.51,,,,,
2024-11-03T16:45:02+00:00,413,,15.25,,,,,,
2024-11-03T16:46:25+00:00,414,,15.61,,,,,,
2024-11-03T16:46:51+00:00,415,,,36.31,,,,,
