created_at,Actual,Forecasted
2024-11-09 02:47:33+00:00,9.212,9.332
2024-11-09 02:49:47+00:00,9.21,9.332
2024-11-09 02:52:01+00:00,9.096,9.332
2024-11-09 02:54:15+00:00,9.264,9.332
2024-11-09 02:56:30+00:00,9.396,9.332
2024-11-09 02:58:44+00:00,9.288,9.332
2024-11-09 03:00:58+00:00,9.260000000000002,9.332
2024-11-09 03:03:12+00:00,9.178,9.332
2024-11-09 03:05:26+00:00,9.172,9.332
2024-11-09 03:07:41+00:00,8.983999999999998,9.332
2024-11-09 03:09:55+00:00,9.15,9.332
2024-11-09 03:12:09+00:00,9.228,9.332
2024-11-09 03:14:23+00:00,9.252,9.332
2024-11-09 03:16:37+00:00,9.412,9.332
2024-11-09 03:18:51+00:00,9.436,9.332
2024-11-09 03:21:06+00:00,9.264,9.332
2024-11-09 03:23:20+00:00,9.186000000000002,9.332
2024-11-09 03:25:34+00:00,9.19,9.332
2024-11-09 03:27:48+00:00,9.126,9.332
2024-11-09 03:30:02+00:00,9.208000000000002,9.332
2024-11-09 03:32:16+00:00,9.276,9.332
2024-11-09 03:34:31+00:00,9.224,9.332
2024-11-09 03:36:45+00:00,9.292,9.332
2024-11-09 03:38:59+00:00,9.2375,9.332
2024-11-09 03:41:13+00:00,9.525,9.332
2024-11-09 03:45:08+00:00,9.7025,9.332
2024-11-09 03:47:23+00:00,9.6825,9.332
2024-11-09 03:49:37+00:00,9.506,9.332
2024-11-09 03:51:51+00:00,9.358,9.332
2024-11-09 03:54:05+00:00,9.342,9.332
2024-11-09 03:56:19+00:00,9.402,9.332
2024-11-09 03:58:37+00:00,9.464,9.332
2024-11-09 04:00:48+00:00,9.56,9.332
2024-11-09 04:03:02+00:00,9.547999999999998,9.332
2024-11-09 04:05:16+00:00,9.564,9.332
2024-11-09 04:07:30+00:00,9.626,9.332
2024-11-09 04:09:44+00:00,9.598,9.332
2024-11-09 04:11:58+00:00,9.608,9.332
2024-11-09 04:14:13+00:00,9.642,9.332
2024-11-09 04:16:27+00:00,9.622,9.332
2024-11-09 04:18:41+00:00,9.424,9.332
2024-11-09 04:20:55+00:00,9.352,9.332
2024-11-09 04:23:09+00:00,9.254,9.332
2024-11-09 04:25:24+00:00,9.196,9.332
2024-11-09 04:27:38+00:00,9.186,9.332
2024-11-09 04:29:52+00:00,9.288,9.332
2024-11-09 04:32:06+00:00,9.374,9.332
2024-11-09 04:34:20+00:00,9.494,9.332
2024-11-09 04:36:35+00:00,9.568,9.332
2024-11-09 04:38:49+00:00,9.654,9.332
2024-11-09 04:41:03+00:00,9.552,9.332
2024-11-09 04:43:17+00:00,9.294,9.332
2024-11-09 04:45:31+00:00,9.344,9.332
2024-11-09 04:47:45+00:00,9.136,9.332
2024-11-09 04:50:00+00:00,8.932,9.332
2024-11-09 04:52:14+00:00,8.876,9.332
2024-11-09 04:54:28+00:00,8.918000000000001,9.332
2024-11-09 04:56:46+00:00,8.864,9.332
2024-11-09 04:58:56+00:00,8.942,9.332
2024-11-09 05:01:11+00:00,9.124,9.332
2024-11-09 05:03:25+00:00,9.44,9.332
2024-11-09 05:05:39+00:00,9.48,9.332
2024-11-09 05:07:53+00:00,9.566,9.332
2024-11-09 05:10:07+00:00,9.67,9.332
2024-11-09 05:12:21+00:00,9.53,9.332
2024-11-09 05:14:36+00:00,9.218,9.332
2024-11-09 05:16:50+00:00,9.362,9.332
2024-11-09 05:19:04+00:00,9.396,9.332
2024-11-09 05:21:18+00:00,9.388,9.332
2024-11-09 05:23:32+00:00,9.46,9.332
2024-11-09 05:25:47+00:00,9.542000000000002,9.332
2024-11-09 05:28:01+00:00,9.566,9.332
2024-11-09 05:30:15+00:00,9.56,9.332
2024-11-09 05:32:29+00:00,9.454,9.332
2024-11-09 05:33:46+00:00,9.546,9.332
2024-11-09 05:36:00+00:00,9.512,9.332
2024-11-09 05:38:15+00:00,9.568,9.332
2024-11-09 05:40:29+00:00,9.544,9.332
2024-11-09 05:42:43+00:00,9.506,9.332
2024-11-09 05:44:57+00:00,9.476,9.332
2024-11-09 05:47:11+00:00,9.508,9.332
2024-11-09 05:49:26+00:00,9.47,9.332
2024-11-09 05:51:40+00:00,9.446000000000002,9.332
2024-11-09 05:53:54+00:00,9.55,9.332
2024-11-09 05:56:08+00:00,9.454,9.332
2024-11-09 05:58:22+00:00,9.61,9.332
2024-11-09 06:00:36+00:00,9.572,9.332
2024-11-09 06:02:51+00:00,9.558,9.332
2024-11-09 06:05:05+00:00,9.382,9.332
2024-11-09 06:07:19+00:00,9.386,9.332
2024-11-09 06:09:33+00:00,9.322,9.332
2024-11-09 06:11:47+00:00,9.302,9.332
2024-11-09 06:14:02+00:00,9.384,9.332
2024-11-09 06:16:16+00:00,9.498,9.332
2024-11-09 06:18:30+00:00,9.486,9.332
2024-11-09 06:20:44+00:00,9.558000000000002,9.332
2024-11-09 06:22:58+00:00,9.488,9.332
2024-11-09 06:25:12+00:00,9.432,9.332
2024-11-09 06:27:27+00:00,9.506,9.332
2024-11-09 06:29:41+00:00,9.582,9.332
2024-11-09 06:31:55+00:00,9.452,9.332
2024-11-09 06:34:09+00:00,9.62,9.332
2024-11-09 06:36:23+00:00,9.638000000000002,9.332
2024-11-09 06:38:37+00:00,9.608,9.332
2024-11-09 06:40:52+00:00,9.666,9.332
2024-11-09 06:43:06+00:00,9.796,9.332
2024-11-09 06:45:20+00:00,9.752,9.332
2024-11-09 06:47:34+00:00,9.675999999999998,9.332
2024-11-09 06:49:48+00:00,9.734,9.332
2024-11-09 06:52:03+00:00,9.718,9.332
2024-11-09 06:54:17+00:00,9.71,9.332
2024-11-09 06:56:31+00:00,9.504,9.332
2024-11-09 06:58:45+00:00,9.508,9.332
2024-11-09 07:00:59+00:00,9.396,9.332
2024-11-09 07:03:13+00:00,9.402,9.332
2024-11-09 07:05:28+00:00,9.39,9.332
2024-11-09 07:07:42+00:00,9.562,9.332
2024-11-09 07:09:56+00:00,9.668,9.332
2024-11-09 07:12:10+00:00,9.98,9.332
2024-11-09 07:14:24+00:00,10.004,9.332
2024-11-09 07:17:07+00:00,9.944,9.332
2024-11-09 07:19:21+00:00,9.972,9.332
2024-11-09 07:21:35+00:00,9.9,9.332
2024-11-09 07:23:50+00:00,9.552,9.332
2024-11-09 07:26:04+00:00,9.336,9.332
2024-11-09 07:28:18+00:00,9.378,9.332
2024-11-09 07:30:32+00:00,9.368,9.332
2024-11-09 07:32:46+00:00,9.419999999999998,9.332
2024-11-09 07:35:01+00:00,9.562,9.332
2024-11-09 07:37:15+00:00,9.764,9.332
2024-11-09 07:39:29+00:00,9.806,9.332
2024-11-09 07:41:43+00:00,9.784,9.332
2024-11-09 07:43:57+00:00,9.54,9.332
2024-11-09 07:46:11+00:00,9.419999999999998,9.332
2024-11-09 07:48:26+00:00,9.434,9.332
2024-11-09 07:50:40+00:00,9.45,9.332
2024-11-09 07:52:54+00:00,9.468,9.332
2024-11-09 07:55:08+00:00,9.53,9.332
2024-11-09 07:57:22+00:00,9.506,9.332
2024-11-09 07:59:37+00:00,9.486,9.332
2024-11-09 08:01:51+00:00,9.362,9.332
2024-11-09 08:04:05+00:00,9.174,9.332
2024-11-09 08:06:19+00:00,9.198,9.332
2024-11-09 08:08:33+00:00,9.303999999999998,9.332
2024-11-09 08:10:48+00:00,9.126,9.332
2024-11-09 08:13:02+00:00,9.198,9.332
2024-11-09 08:15:16+00:00,9.352,9.332
2024-11-09 08:17:30+00:00,9.356,9.332
2024-11-09 08:19:44+00:00,9.222,9.332
2024-11-09 08:21:58+00:00,9.366,9.332
2024-11-09 08:24:16+00:00,9.330000000000002,9.332
2024-11-09 08:26:27+00:00,9.25,9.332
2024-11-09 08:28:41+00:00,9.303999999999998,9.332
2024-11-09 08:30:55+00:00,9.396,9.332
2024-11-09 08:33:09+00:00,9.358,9.332
2024-11-09 08:35:24+00:00,9.364,9.332
2024-11-09 08:37:38+00:00,9.314,9.332
2024-11-09 08:39:52+00:00,9.297999999999998,9.332
2024-11-09 08:42:06+00:00,9.288,9.332
2024-11-09 08:44:20+00:00,9.24,9.332
2024-11-09 08:46:34+00:00,9.236,9.332
2024-11-09 08:48:49+00:00,9.3175,9.332
2024-11-09 08:51:03+00:00,9.293333333333337,9.332
2024-11-10 03:20:29+00:00,5.25,9.332
2024-11-10 03:31:45+00:00,4.75,9.332
2024-11-10 03:43:00+00:00,5.04,9.332
2024-11-10 03:54:15+00:00,5.04,9.332
2024-11-10 04:05:31+00:00,9.74,9.332
2024-11-10 04:05:58+00:00,9.74,9.332
2024-11-10 04:16:46+00:00,5.44,9.332
2024-11-10 04:28:02+00:00,4.91,9.332
2024-11-10 04:39:17+00:00,4.7,9.332
2024-11-10 04:50:32+00:00,5.68,9.332
2024-11-10 05:01:48+00:00,5.35,9.332
2024-11-10 05:13:03+00:00,5.21,9.332
2024-11-10 05:24:18+00:00,5.97,9.332
2024-11-10 05:35:34+00:00,4.89,9.332
2024-11-10 05:46:49+00:00,5.81,9.332
2024-11-10 05:58:05+00:00,4.85,9.332
2024-11-10 06:09:20+00:00,4.77,9.332
2024-11-10 06:20:35+00:00,5.25,9.332
2024-11-10 06:31:51+00:00,5.25,9.332
2024-11-10 06:43:06+00:00,5.97,9.332
2024-11-10 06:54:21+00:00,5.56,9.332
