created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2024-10-06T12:41:50+00:00,1,181,,,,,,,
2024-10-06T12:59:55+00:00,2,931.38,,,,,,,
2024-10-06T13:00:13+00:00,3,,,,,,,,
2024-10-14T03:52:50+00:00,4,94.75,,,,,,,
2024-10-14T04:06:07+00:00,5,,94.73,,,,,,
2024-10-14T04:24:07+00:00,6,,,95.99,,,,,
2024-10-14T05:20:08+00:00,7,,,95.87,,,,,
2024-10-14T07:28:52+00:00,8,,,,102.82,,,,
2024-10-14T07:29:39+00:00,9,,152.97,,,,,,
2024-10-14T07:30:08+00:00,10,,,,,,,,
2024-10-14T07:31:32+00:00,11,,,,103.89,,,,
2024-10-14T07:32:52+00:00,12,,,,101.88,,,,
2024-10-14T07:34:12+00:00,13,,,,101.86,,,,
2024-10-14T07:40:16+00:00,14,,,176.4,,,,,
2024-10-14T07:44:47+00:00,15,105,,,,,,,
2024-10-14T07:47:03+00:00,16,105.43,,,,,,,
2024-10-14T07:51:22+00:00,17,,,102.64,,,,,
2024-10-14T08:09:43+00:00,18,,,,177.15,,,,
2024-10-14T08:35:42+00:00,19,,,,177.22,,,,
2024-10-14T09:14:15+00:00,20,137.83,,,,,,,
2024-10-14T09:32:28+00:00,21,105.86,,,,,,,
2024-10-14T09:32:51+00:00,22,,,,,,,,
2024-10-14T09:34:29+00:00,23,103.65,,,,,,,
2024-10-17T08:01:44+00:00,24,167.81,,,,,,,
2024-10-17T08:12:59+00:00,25,170.58,,,,,,,
2024-10-17T08:24:14+00:00,26,170.58,,,,,,,
2024-10-17T08:35:29+00:00,27,170.58,,,,,,,
2024-10-17T08:46:44+00:00,28,170.69,,,,,,,
2024-10-17T08:57:59+00:00,29,170.69,,,,,,,
2024-10-17T09:09:14+00:00,30,170.58,,,,,,,
2024-10-17T09:20:29+00:00,31,170.69,,,,,,,
2024-10-17T09:31:45+00:00,32,170.69,,,,,,,
2024-10-17T09:43:00+00:00,33,170.69,,,,,,,
2024-10-17T09:54:15+00:00,34,170.69,,,,,,,
2024-10-17T10:05:31+00:00,35,170.69,,,,,,,
2024-10-17T10:16:46+00:00,36,170.69,,,,,,,
